Date,Open,High,Low,Close,Adj Close,Volume
2012-05-31,41.158001,41.282001,41.158001,41.282001,41.282001,0
2012-06-01,41.160999,41.160999,40.800999,40.800999,40.800999,0
2012-06-04,40.867001,41.167000,40.867001,40.964001,40.964001,0
2012-06-05,41.168999,41.168999,41.108002,41.108002,41.108002,0
2012-06-06,41.164001,41.164001,40.917000,40.917000,40.917000,0
2012-06-07,41.220001,41.282001,41.220001,41.282001,41.282001,0
2012-06-08,41.535000,41.535000,40.972000,40.972000,40.972000,0
2012-06-11,41.179001,41.473000,41.179001,41.473000,41.473000,0
2012-06-12,41.173000,41.173000,41.158001,41.158001,41.158001,0
2012-06-13,41.180000,41.180000,41.058998,41.058998,41.058998,0
2012-06-14,41.175999,41.188000,40.977001,40.977001,40.977001,0
2012-06-15,41.173000,41.173000,41.091000,41.091000,41.091000,0
2012-06-18,40.837002,41.339001,40.837002,41.339001,41.339001,0
2012-06-19,41.164001,41.164001,40.924000,40.924000,40.924000,0
2012-06-20,41.168999,41.168999,41.129002,41.129002,41.129002,0
2012-06-21,41.187000,41.589001,41.187000,41.589001,41.589001,0
2012-06-22,41.598000,41.598000,41.191002,41.191002,41.191002,0
2012-06-25,41.327999,41.327999,41.191002,41.191002,41.191002,0
2012-06-26,41.237999,41.252998,41.237999,41.252998,41.252998,0
2012-06-27,41.237999,41.326000,41.237999,41.326000,41.326000,0
2012-06-28,41.252998,41.252998,41.196999,41.196999,41.196999,0
2012-06-29,41.257999,41.257999,40.979000,40.979000,40.979000,0
2012-07-02,41.120998,41.381001,41.120998,41.381001,41.381001,0
2012-07-03,41.238998,41.244999,41.168999,41.168999,41.168999,0
2012-07-04,41.257000,41.370998,41.257000,41.370998,41.370998,0
2012-07-05,41.236000,41.667999,41.236000,41.667999,41.667999,0
2012-07-06,41.247002,41.546001,41.247002,41.546001,41.546001,0
2012-07-09,41.547001,41.562000,41.200001,41.200001,41.200001,0
2012-07-10,41.236000,41.432999,41.236000,41.432999,41.432999,0
2012-07-11,41.222000,41.395000,41.222000,41.395000,41.395000,0
2012-07-12,41.235001,41.235001,41.192001,41.192001,41.192001,0
2012-07-13,41.276001,41.276001,41.082001,41.082001,41.082001,0
2012-07-16,41.120998,41.226002,40.941002,40.941002,40.941002,0
2012-07-17,41.221001,41.221001,41.209000,41.209000,41.209000,0
2012-07-18,41.256001,41.256001,41.067001,41.067001,41.067001,0
2012-07-19,41.251999,41.318001,41.251999,41.318001,41.318001,0
2012-07-20,41.231998,41.492001,41.231998,41.492001,41.492001,0
2012-07-23,41.608002,41.612000,41.230999,41.282001,41.282001,0
2012-07-24,41.199001,41.318001,41.199001,41.318001,41.318001,0
2012-07-25,41.153999,41.209999,41.153999,41.209999,41.209999,0
2012-07-26,41.151001,41.151001,41.042000,41.042000,41.042000,0
2012-07-27,41.270000,41.270000,41.202999,41.202999,41.202999,0
2012-07-30,41.243000,41.245998,41.243000,41.245998,41.245998,0
2012-07-31,41.238998,41.238998,41.182999,41.182999,41.182999,0
2012-08-01,41.241001,41.512001,41.241001,41.512001,41.512001,0
2012-08-02,41.229000,41.530998,41.229000,41.530998,41.530998,0
2012-08-03,41.236000,41.236000,40.902000,40.902000,40.902000,0
2012-08-06,41.238998,41.238998,41.088001,41.103001,41.103001,0
2012-08-07,41.244999,41.304001,41.244999,41.304001,41.304001,0
2012-08-08,41.233002,41.233002,41.212002,41.212002,41.212002,0
2012-08-09,41.219002,41.268002,41.219002,41.268002,41.268002,0
2012-08-10,41.249001,41.249001,41.178001,41.178001,41.178001,0
2012-08-13,41.245998,41.257999,41.245998,41.257999,41.257999,0
2012-08-14,41.243999,41.348999,41.243999,41.348999,41.348999,0
2012-08-15,41.238998,41.241001,41.224998,41.241001,41.241001,0
2012-08-16,41.223999,41.223999,40.977001,40.977001,40.977001,0
2012-08-17,41.258999,41.330002,41.258999,41.330002,41.330002,0
2012-08-20,41.241001,41.241001,41.158001,41.158001,41.158001,0
2012-08-21,41.075001,41.244999,41.075001,41.158001,41.158001,0
2012-08-22,41.262001,41.262001,41.011002,41.011002,41.011002,0
2012-08-23,41.296001,41.296001,41.212002,41.212002,41.212002,0
2012-08-24,41.269001,41.290001,41.269001,41.290001,41.290001,0
2012-08-27,41.247002,41.342999,41.247002,41.342999,41.342999,0
2012-08-28,41.271999,41.271999,41.180000,41.180000,41.180000,0
2012-08-29,41.245998,41.341999,41.245998,41.341999,41.341999,0
2012-08-30,41.254002,41.365002,41.254002,41.365002,41.365002,0
2012-08-31,41.270000,41.278000,41.236000,41.278000,41.278000,0
2012-09-03,41.257000,41.257000,41.194000,41.194000,41.194000,0
2012-09-04,41.254002,41.316002,41.250999,41.316002,41.316002,0
2012-09-05,41.251999,41.256001,41.070999,41.070999,41.070999,0
2012-09-06,41.257000,41.257000,41.195000,41.195000,41.195000,0
2012-09-07,41.257000,41.257000,40.852001,40.852001,40.852001,0
2012-09-10,40.930000,41.356998,40.930000,41.356998,41.356998,0
2012-09-11,41.270000,41.270000,41.087002,41.087002,41.087002,0
2012-09-12,41.278999,41.341999,41.278999,41.340000,41.340000,0
2012-09-13,41.271000,41.271000,41.025002,41.025002,41.025002,0
2012-09-14,40.901001,41.241001,40.901001,41.191002,41.191002,0
2012-09-17,41.296001,41.305000,41.296001,41.305000,41.305000,0
2012-09-18,41.403999,41.449001,41.403999,41.449001,41.449001,0
2012-09-19,41.370998,41.370998,41.250000,41.250000,41.250000,0
2012-09-20,41.368999,41.368999,41.330002,41.330002,41.330002,0
2012-09-21,41.380001,41.460999,41.380001,41.460999,41.460999,0
2012-09-24,41.358002,41.358002,41.296001,41.296001,41.296001,0
2012-09-25,41.359001,41.394001,41.359001,41.394001,41.394001,0
2012-09-26,41.372002,41.372002,41.342999,41.342999,41.342999,0
2012-09-27,41.313000,41.353001,41.214001,41.214001,41.214001,0
2012-09-28,41.390999,41.584000,41.390999,41.584000,41.584000,0
2012-10-01,41.372002,41.410000,41.372002,41.410000,41.410000,0
2012-10-02,41.372002,41.372002,41.370998,41.370998,41.370998,0
2012-10-03,41.369999,41.369999,41.369999,41.369999,41.369999,0
2012-10-04,41.334999,41.386002,41.154999,41.154999,41.154999,0
2012-10-05,41.376999,41.376999,41.287998,41.287998,41.287998,0
2012-10-08,41.379002,41.379002,41.326000,41.326000,41.326000,0
2012-10-09,41.353001,41.532001,41.353001,41.532001,41.532001,0
2012-10-10,41.382999,41.382999,41.362999,41.362999,41.362999,0
2012-10-11,41.369999,41.369999,41.327000,41.327000,41.327000,0
2012-10-12,41.393002,41.437000,41.393002,41.437000,41.437000,0
2012-10-15,41.374001,41.425999,41.374001,41.425999,41.425999,0
2012-10-16,41.396000,41.396000,41.139999,41.139999,41.139999,0
2012-10-17,41.389000,41.403000,41.388000,41.403000,41.403000,0
2012-10-18,41.417999,41.525002,41.403000,41.525002,41.525002,0
2012-10-19,41.401001,41.478001,41.401001,41.466000,41.466000,0
2012-10-22,41.384998,41.404999,41.384998,41.404999,41.404999,0
2012-10-23,41.381001,41.449001,41.381001,41.449001,41.449001,0
2012-10-24,41.380001,41.380001,41.278000,41.278000,41.278000,0
2012-10-25,41.380001,41.563999,41.380001,41.563999,41.563999,0
2012-10-26,41.645000,41.731998,41.238998,41.238998,41.238998,0
2012-10-29,41.380001,41.380001,41.349998,41.349998,41.349998,0
2012-10-30,41.368999,41.368999,41.317001,41.317001,41.317001,0
2012-10-31,41.384998,41.543999,41.384998,41.543999,41.543999,0
2012-11-01,41.382999,41.449001,41.382999,41.449001,41.449001,0
2012-11-02,41.608002,41.608002,41.372002,41.521999,41.521999,0
2012-11-05,41.368000,41.368000,41.342999,41.342999,41.342999,0
2012-11-06,41.370998,41.370998,41.354000,41.354000,41.354000,0
2012-11-07,41.389000,41.507999,41.389000,41.507999,41.507999,0
2012-11-08,41.365002,41.366001,41.365002,41.366001,41.366001,0
2012-11-09,41.348999,41.372002,41.348999,41.372002,41.372002,0
2012-11-12,41.381001,41.381001,41.375000,41.375000,41.375000,0
2012-11-13,41.355000,41.416000,41.355000,41.416000,41.416000,0
2012-11-14,41.368999,41.386002,41.368999,41.386002,41.386002,0
2012-11-15,41.380001,41.382999,41.323002,41.323002,41.323002,0
2012-11-16,41.367001,41.367001,41.360001,41.360001,41.360001,0
2012-11-19,41.261002,41.374001,41.261002,41.360001,41.360001,0
2012-11-20,41.365002,41.366001,41.365002,41.366001,41.366001,0
2012-11-21,41.368999,41.368999,41.293999,41.293999,41.293999,0
2012-11-22,41.363998,41.363998,41.355999,41.355999,41.355999,0
2012-11-23,41.391998,41.391998,41.141998,41.141998,41.141998,0
2012-11-26,41.375999,41.375999,41.255001,41.255001,41.255001,0
2012-11-27,41.362000,41.409000,41.362000,41.409000,41.409000,0
2012-11-28,41.362000,41.362000,41.167999,41.167999,41.167999,0
2012-11-29,41.368000,41.397999,41.368000,41.397999,41.397999,0
2012-11-30,41.375999,41.443001,41.375999,41.443001,41.443001,0
2012-12-03,41.375999,41.375999,41.303001,41.303001,41.303001,0
2012-12-04,41.390999,41.390999,41.342999,41.342999,41.342999,0
2012-12-05,41.397999,41.414001,41.397999,41.414001,41.414001,0
2012-12-06,41.368000,41.683998,41.368000,41.683998,41.683998,0
2012-12-07,41.375999,41.384998,41.375999,41.384998,41.384998,0
2012-12-10,41.375999,41.375999,41.278000,41.278000,41.278000,0
2012-12-11,41.382000,41.382000,41.332001,41.332001,41.332001,0
2012-12-12,41.360001,41.360001,41.235001,41.235001,41.235001,0
2012-12-13,41.363998,41.363998,41.338001,41.338001,41.338001,0
2012-12-14,41.389999,41.389999,41.159000,41.159000,41.159000,0
2012-12-17,41.173000,41.380001,41.173000,41.366001,41.366001,0
2012-12-18,41.373001,41.373001,41.249001,41.249001,41.249001,0
2012-12-19,41.400002,41.591000,41.400002,41.591000,41.591000,0
2012-12-20,41.395000,41.429001,41.395000,41.429001,41.429001,0
2012-12-21,41.373001,41.436001,41.373001,41.436001,41.436001,0
2012-12-24,41.383999,41.500000,41.383999,41.500000,41.500000,0
2012-12-25,41.506001,41.506001,41.506001,41.506001,41.506001,0
2012-12-26,41.374001,41.374001,41.374001,41.374001,41.374001,0
2012-12-27,41.382000,41.467999,41.382000,41.467999,41.467999,0
2012-12-28,41.394001,41.394001,41.272999,41.272999,41.272999,0
2012-12-31,41.391998,41.391998,41.348000,41.348000,41.348000,0
2013-01-01,41.290001,41.306000,41.290001,41.306000,41.306000,0
2013-01-02,41.389000,41.594002,41.320000,41.594002,41.594002,0
2013-01-03,41.402000,41.613998,41.402000,41.613998,41.613998,0
2013-01-04,41.368999,41.368999,41.167999,41.167999,41.167999,0
2013-01-07,41.374001,41.375999,41.112999,41.112999,41.112999,0
2013-01-08,41.382000,41.521000,41.382000,41.521000,41.521000,0
